ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, USERS_LIKED, TAGS, MENTIONS, HAS_COMMENTS
1776328951871244444, BimycU0hwic, 267, 12, 2018-05-10 10:55:34, @BNEGnightlife resident @R3HAB returns to #TheGrandBoston on Friday  5/18 🎟 bit.ly/grandmay18, False, N/A, msoliman27 ty_cubano bostonempire sarahgeiselman rushforjohn16 madaramvsic jaguarlita mo_b630 bnegnightlife shrinefoxwoods , TheGrandBoston , BNEGnightlife R3HAB 5/18 , true
1775801999288473418, Bik6oJ_BJdK, 210, 5, 2018-05-09 17:28:36, Don’t miss our GRANDuation week bash with @weare2cents tomorrow at #TheGrandBoston 🎓 | Tickets: bit.ly/granduationmay10, False, N/A, xermane circusbabe dancafferty mind_honeyy michelle_porras17 randygreenstein jarrett_gggx3 sarahgeiselman chelsea_scola rmanley7 , TheGrandBoston , weare2cents , true
1774929174608523554, Bih0K4qBLEi, 297, 13, 2018-05-08 12:36:18, Wild night with @loudluxury | Relive it.☝🏽🔥 #iLoveMondays #TheGrandBoston, True, 1936, jjpowers4 djnunzio millwarcal theraveutopia noorlindmusic ayacobian nicolasjcarroll djkaoru l30a real_nora , iLoveMondays TheGrandBoston , loudluxury , true
1774087499170675652, Bie0y5Uh3vE, 397, 18, 2018-05-07 08:42:12, Party is on with @loudluxury TONIGHT at #TheGrandBoston #iLoveMondays 🎟 link in bio, False, N/A, rickycboston intotheam manwell_cvboy patrickkenney97 ashl3y_ross mylourod tito_pin rmanley7 bignightent anerdthatlifts , TheGrandBoston iLoveMondays , loudluxury , true
1772773341074430482, BiaJ_YOBhoS, 149, 5, 2018-05-05 13:12:47, Incase you forgot what happened last night with @bingoplayers 👆🏻, True, 1729, rayray_all_day omgoshjenn dmendzz alexreissis nandaerael kirashababb dj_hack_it rayastoynova_ aimeechicoine heymelo27 , , bingoplayers , true
1771928706613633948, BiXJ8VFBeOc, 196, 5, 2018-05-04 09:13:03, We’re ready for @bingoplayers tonight! 🙌🏼🙌🏼 limited tix &amp; tables at TheGrandBoston.com! #thegrandboston, False, N/A, akenney_14 sarahgeiselman eroticcafe_official esco4life niiiccole snorgaa yung_hawaii_5.0 thekingofthestreets mys.tk snaypormusic , thegrandboston , bingoplayers , true
1771163158724218886, BiUb4JDBBAG, 241, 3, 2018-05-03 07:52:03, We’re always ready to celebrate at #TheGrandBoston! Friday: @bingoplayers Saturday: @djriznyc Monday: @LoudLuxury Tickets + Tables at TheGrandBoston.com, False, N/A, schumoney bostonapartments101 anthony.manni saraskinner johnnycamm athanthebarber jmaldade teamkittykoalition fabishine1 kaitlynneeee , TheGrandBoston , bingoplayers djriznyc LoudLuxury , true
1770425857014658158, BiR0O_UhnRu, 435, 24, 2018-05-02 07:27:10, Gearing up for the weekend at #TheGrandBoston Friday: @bingoplayers Saturday: @djriznyc Monday: @loudluxury Tickets + tables at TheGrandBoston.com, False, N/A, pamelavargasb jmaldade afewplacesonearth dj_voltran carla_costa_cabral blagicakostadinova tiffany_melendy djcentric aaaalexismarie brewroyale , TheGrandBoston , bingoplayers djriznyc loudluxury , true
1767573893570500842, BiHrxdYhhjq, 153, 5, 2018-04-28 09:02:13, What. A. Night. @cheatcodes 🙌🏻, True, 1579, arubsss jannifern athenaziogas katherineeeu itsbausten gillieabreuu mr_parkside225 jessejessdj tylouie vinnyvibe , , cheatcodes , true
1766122411486680031, BiChvnWhRPf, 450, 5, 2018-04-26 08:56:59, The weekend spot. 📍 #TheGrandBoston Tomorrow: @cheatcodes Saturday: @djikon Monday: @makj Tickets + tables at TheGrandBoston.com, False, N/A, sancori_ bvrnoutofficial caitiepowers djchampane sydney.raeann shivvv97 iampratikpai chad2216 nicolelambi meekdiesel , TheGrandBoston , cheatcodes djikon makj , true
