,SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
0,QQuoVxmbfi,17844949669018645,monaa_k,2012-12-16 00:25:37,We love the robot!,,
1,TRtKYbmbZI,17847796753018645,xo.jlovee,2013-06-21 20:26:15,@meli__flowers,,meli__flowers 
2,U79VUjmbSl,17844967972018645,mama.sami,2013-01-26 06:42:32,😍😍😍😍😍😍😍😍,,
3,VbE6b4mbVr,17844973534018645,hugissimo,2013-02-07 08:32:35,#djcolleenshannon,djcolleenshannon ,
4,VbE6b4mbVr,17844973549018645,rodneydeth,2013-02-07 10:11:29,@djcolleenshannon,,djcolleenshannon 
5,ZBhPuUmbRB,17847767302018645,mama.sami,2013-05-07 20:32:26,😍,,
6,ZBhPuUmbRB,17847767335018645,alma.wallace,2013-05-07 21:35:56,So cute Wendy!,,
7,ZG3qJAmbVV,17847768628018645,katierandick,2013-05-09 22:23:39,Is it we got issues this weekend!?!,,
8,ZKGVbQmbQ0,17847769474018645,anthonypresents,2013-05-11 04:23:02,😮,,
9,ZMsUI-mbZm,17847770311018645,anthonypresents,2013-05-12 04:41:28,Good luck girls. 👊,,
10,ZT2zZPmbcL,17847772177018645,alma.wallace,2013-05-14 23:21:48,💗 it!,,
11,ZT2zZPmbcL,17847772189018645,thegrandnightclub,2013-05-14 23:55:00,@oksichka,,oksichka 
12,ZZBv-sGbeA,17847773392018645,thegrandnightclub,2013-05-16 23:54:28,@mayser1 @lovemarimba @wendayy_twran 😘,,mayser1 lovemarimba wendayy_twran 
13,cNSI0MGbVD,17847820978018645,miss_smokes_alot,2013-07-26 03:34:51,Eyes on you @almababyyyy,,almababyyyy 
14,dFzSIYmbbK,17847837667018645,hplifestyle,2013-08-16 23:21:55,Thomas ! Lol,,
15,dFzSIYmbbK,17847858181018645,thegrandnightclub,2013-09-13 05:34:18,#grandgirls #grandgirlslive #edm #nightlife #sfnightlife #nightlifesf #bottleservice #bottleservicegirls #botllepopper #popbottles #turnup #turnt #live #danceparty #club #clublife #sf #sanfrancisco #sanfran #music #livemusic #venue #party,grandgirls grandgirlslive edm nightlife sfnightlife nightlifesf bottleservice bottleservicegirls botllepopper popbottles turnup turnt live danceparty club clublife sf sanfrancisco sanfran music livemusic venue party ,
16,dFzSIYmbbK,17867112457018850,harrypotterburlesque,2016-12-03 15:14:12,Aww nice,,
17,ec6iKxGbRy,17847863170018645,hplifestyle,2013-09-19 18:27:18,Work is hard 😅,,
18,ec6iKxGbRy,17847878155018645,itsjla,2013-10-10 02:14:11,What would be the requirements to work for you guys because I would love to join the team! 😊@thegrandnightclub_sf,,
19,ec6iKxGbRy,17847879424018645,thegrandnightclub,2013-10-12 01:06:15,@itsjla email me: Jenn@grandnightclub.com send me a resume 😊,,itsjla 
20,gZYCGkmbYC,17847900016018645,harley_quinn_925,2013-11-07 02:30:58,The cat outfit,,
21,gZYCGkmbYC,17847900019018645,thegrandnightclub,2013-11-07 02:31:25,@punkybrusterndoughboy 👍,,punkybrusterndoughboy 
22,gZYCGkmbYC,17847900028018645,harley_quinn_925,2013-11-07 02:33:01,I also liked the ones that are like a barging suit and has like a paint look or universe look or something,,
23,gZYCGkmbYC,17847900049018645,_m3rd,2013-11-07 03:17:41,@sbigdaddyf let's go!,,sbigdaddyf 
24,gZYCGkmbYC,17848015051018645,kylalaaa,2014-02-17 22:43:43,TOP LEFT!. Please tell me where I can find this! :),,
25,gZYCGkmbYC,17848024144018645,lolomani,2014-03-01 07:31:27,@ojm2,,ojm2 
26,gZYCGkmbYC,17848095661018645,shitbitchontitsbitch,2014-05-20 17:14:29,DEF top right....BunnyBitch👍,,
27,hCpCzUmbeQ,17847945547018645,thegrandnightclub,2013-11-23 03:01:07,#grandgirlslive,grandgirlslive ,
28,iAoa3hGbRT,17847965809018645,ozzytres,2013-12-17 04:59:54,💪,,
29,jfq6bdmbem,17847994585018645,goldenrayeofsunshine,2014-01-23 03:15:00,My girls are the cutest ❤️,,
30,jfq6bdmbem,17847994594018645,ssjennss,2014-01-23 03:19:00,@goldenrayeofsunshine they sure are!! Thank you for always taking lovely pictures of them 😘,,goldenrayeofsunshine 
31,nBrw6UmbY1,17848084018018645,carloastuti,2014-05-06 02:01:58,@thegrandnightclub we need to have another crazy night again!!,,thegrandnightclub 
32,nBrw6UmbY1,17848084594018645,thegrandnightclub,2014-05-06 18:59:26,@carloastuti we're ready! See you soon,,carloastuti 
33,nBrw6UmbY1,17848084600018645,carloastuti,2014-05-06 19:02:23,@thegrandnightclub check PM,,thegrandnightclub 
34,ttebcnGbSi,17849446543018645,jacksonlipps,2014-10-04 00:33:58,👌,,
35,ttebcnGbSi,17849446555018645,hplifestyle,2014-10-04 00:37:19,OMG soooo cute,,
36,ttebcnGbSi,17849446618018645,goldenrayeofsunshine,2014-10-04 01:40:22,Miss you babes 💋❤️,,
37,wryUi7mbW-,17843911294018645,j_chinn,2015-09-24 02:21:17,@voworld well damn lucky you,,voworld 
38,wryUi7mbW-,17843977813018645,_bkitty,2015-09-29 02:18:37,Still looking for girls ?,,
39,7ojuDHGbTC,17843782918018645,leianasantiago,2015-09-15 02:17:00,😍😍😍😍😍,,
40,7ojuDHGbTC,17843783065018645,niceprez,2015-09-15 02:28:38,I can't wait 👏👏,,
41,7v2Q4xGbZR,17843820820018645,kaiali,2015-09-17 23:47:22,@djjrocksf dude!!!!!!!,,djjrocksf 
42,7v2Q4xGbZR,17843824069018645,andrewdhphotos,2015-09-18 06:02:22,🙌🙌🙌🙌,,
43,7v2Q4xGbZR,17843849752018645,kaiali,2015-09-19 22:03:27,@ff_emt_brian925,,ff_emt_brian925 
44,7v2Q4xGbZR,17853311422018645,jelena_miami,2016-02-04 02:46:57,@ninna_cooper,,ninna_cooper 
45,7v2Q4xGbZR,17855349199018645,muneca408,2016-03-25 23:27:44,@mvl408 call!! Lol,,mvl408 
46,70wVjbmbaa,17856384511018645,psercia,2016-04-28 20:33:11,😃,,
47,7_o6b1Gbfp,17843930293018645,letylyfe,2015-09-25 18:09:54,@lezbian2dafullzt @xoxo_alexa95 @jess90uribe @gaby.92,,lezbian2dafullzt xoxo_alexa95 jess90uribe gaby.92 
48,7_o6b1Gbfp,17843930299018645,gaby.92,2015-09-25 18:10:34,@letylyfe Oooh that's pretty!,,letylyfe 
49,7_o6b1Gbfp,17843931790018645,jess90uribe,2015-09-25 21:02:36,@letylyfe omg I love it yay thanks Prima for all ur help😍😍😎😀,,letylyfe 
50,7_o6b1Gbfp,17843931799018645,jess90uribe,2015-09-25 21:04:13,@letylyfe I definitely want the 3carat one lol,,letylyfe 
51,8LtPU1GbeI,17843971780018645,buhderka,2015-09-28 18:15:58,@legsfordaze,,legsfordaze 
52,8LtPU1GbeI,17843972395018645,legsfordaze,2015-09-28 19:15:42,that's me! 😁,,
53,8RUy9oGbe5,17844000853018645,djscottyboy,2015-09-30 22:52:08,Send me this so I can post too • djscottyboy@gmail.com,,
54,8RUy9oGbe5,17844013012018645,lilysirenguyen,2015-10-01 22:34:48,@grandgirlwendy ^,,grandgirlwendy 
55,8RUy9oGbe5,17844013645018645,wheres_wendayy,2015-10-02 00:19:51,👌🏼,,
56,8RUy9oGbe5,17844027262018645,dreafauxreal,2015-10-03 01:30:55,@nonyewest @habeshahoney @youngdeeee this looks lit!,,nonyewest habeshahoney youngdeeee 
57,8RUy9oGbe5,17844036862018645,e_keka,2015-10-03 18:04:49,@grissseel,,grissseel 
58,8Rq4nCmbS9,17844003688018645,champagnedrockofficial,2015-10-01 03:13:14,Nice picture!,,
59,8eqfAUmbZu,17844077569018645,tableconnection,2015-10-06 02:43:50,Spectacular one,,
60,8jqJiPGbdU,17844111757018645,djsolarsf,2015-10-08 01:34:06,@djronnyromero,,djronnyromero 
61,8jqJiPGbdU,17844111769018645,djsolarsf,2015-10-08 01:34:38,@djicuesf 💪,,djicuesf 
62,8jqJiPGbdU,17844111853018645,djsolarsf,2015-10-08 01:40:18,@eloriginalrichierich ready,,eloriginalrichierich 
63,8oSkO4mbWW,17844142672018645,leianasantiago,2015-10-09 20:12:09,@grandgirlfrancesca 😍 my mom is hot,,grandgirlfrancesca 
64,8oSkO4mbWW,17844148435018645,franextraaa,2015-10-10 01:33:21,I love you lillll baby!!!! Come home my loveeeee❤️😘,,
65,8rev76Gbec,17844174766018645,marshmellomusic,2015-10-11 01:59:58,😄 😄 😄 &lt;3,,
66,8rev76Gbec,17844175012018645,elkanbrawn,2015-10-11 02:12:17,Looks cool! I love this foto :),,
67,8rev76Gbec,17844228361018645,djchupy,2015-10-13 05:11:36,👍👍👍👍,,
68,8wgwoTGbXM,17844224341018645,djadamcova,2015-10-13 00:42:05,It was my pleasure! Place looks amazing! Everything you need in a nightclub!,,
69,8wgwoTGbXM,17845109383018645,fundraver,2015-10-28 11:02:19,Love! 💗,,
70,8wgwoTGbXM,17854913122018645,molotov011,2016-03-17 01:10:25,🔨🔨🔨,,
71,87DwyEmbc5,17844316624018645,teepdasneak,2015-10-17 02:59:17,@andeeeex0,,andeeeex0 
72,87DwyEmbc5,17844316669018645,andeeeex0,2015-10-17 03:01:56,OMG!! That's us @dsolarski @shayleeseaton @paigeosborn.hair  @sarawwww @kaytrachelle @hayleyobryan @allyjenkins_xo 😍😍😍,,dsolarski shayleeseaton paigeosborn.hair @sarawwww kaytrachelle hayleyobryan allyjenkins_xo 
73,89CMqcGbfj,17845056544018645,__vmchelle,2015-10-24 19:42:05,@ayomattdo @mnsang  @emilychengg,,ayomattdo mnsang @emilychengg 
74,89CMqcGbfj,17845056547018645,__vmchelle,2015-10-24 19:42:17,Is it convincing yet ?!,,
75,89CMqcGbfj,17845062673018645,nee.ill,2015-10-25 04:39:28,@tonychiban,,tonychiban 
76,9H-0NjmbVL,17845042564018645,andrewstewart318,2015-10-23 20:42:28,Hollo  Beautiful labies,,Beautiful 
77,9UqEY-GbVr,17845097251018645,muffinseir,2015-10-27 12:22:09,😄,,
78,9hNdS5mbQ0,17845162711018645,leianasantiago,2015-10-31 22:46:31,😍😍😍😍😍,,
79,9hNdS5mbQ0,17845185826018645,eestateofmind,2015-11-02 05:45:06,you have a dope ig!,,
80,9hNdS5mbQ0,17845207414018645,thegrandnightclub,2015-11-03 20:35:00,@ririshiova call or text us at 415-636-0029 for bottle service inquiries. Looking forward to hearing from you. Thanks,,ririshiova 
81,9mwoDTmbVe,17845197718018645,shamastyles,2015-11-03 02:18:50,Aww ☺️☺️☺️ #🎂,,
82,9mwoDTmbVe,17845197799018645,sierraaaeva,2015-11-03 02:23:33,😍❤❤❤❤💋,,
83,9pTETKmbTO,17844992638055901,cottoncandycoral,2015-11-04 03:31:19,@sfgdynasty101214,,sfgdynasty101214 
84,9pTETKmbTO,17844999076055901,kkkkammmy,2015-11-04 18:19:25,@kahtiii Lookin tan... Missing the LOK though @justinh_gibbs @23aj23 @kiafariba @tcrivell,,kahtiii justinh_gibbs 23aj23 kiafariba tcrivell 
85,9pTETKmbTO,17844999166055901,justinh_gibbs,2015-11-04 18:28:09,Yee @kkkkammmy,,kkkkammmy 
86,99TEKjmbTf,17846511547055036,marcusschossowofficial,2015-11-11 21:26:12,🙌🙌🙌💃💃💃,,
87,-FkwbxmbZA,17846028499010908,shamastyles,2015-11-15 01:35:25,party with us 😎,,
88,-KmJ4GmbSX,17842541269121802,monaa_k,2015-11-17 00:22:00,@izzy4hair,,izzy4hair 
89,-cYrPNmbSA,17842950007085385,gggina_marieee,2015-11-23 22:09:51,Damn going way back to the old grand days for these photos 😉 Thanks for the bday wishes #fambam 😘,fambam ,
90,-cYrPNmbSA,17842950028085385,ssjennss,2015-11-23 22:12:14,Required some digging :) OG grand fam @grandgirlgina,,grandgirlgina 
91,-cYrPNmbSA,17842950484085385,leianasantiago,2015-11-23 22:46:52,Happy birthday @grandgirlgina !!!!,,grandgirlgina 
92,-cYrPNmbSA,17842951702085385,kortilla1,2015-11-24 01:05:30,Happy Birthday @grandgirlgina 💕😍,,grandgirlgina 
93,-cYrPNmbSA,17842951747085385,sierraaaeva,2015-11-24 01:15:03,😍😍😍😍😍😍😍😍,,
94,-7ICPEmbfl,17848914745029307,janetvere_,2015-12-05 20:43:12,@sheyayawolf_9  CANT WAIT 😍❤️!,,sheyayawolf_9 CANT 
95,-7ICPEmbfl,17848914751029307,thegrandnightclub,2015-12-05 20:44:37,@janetvere_ @sheyayawolf_9 see you soon!,,janetvere_ sheyayawolf_9 
96,-7ICPEmbfl,17848914868029307,leianasantiago,2015-12-05 20:50:48,OMG that is SOOOOOO cute!!!,,
97,-7ICPEmbfl,17848914937029307,thegrandnightclub,2015-12-05 20:55:03,@leianasantiago 😁😘,,leianasantiago 
98,_A2kAzmbVS,17851042372018117,patriciaisalatenightmermaid889,2015-12-08 23:32:58,@ruth_azel,,ruth_azel 
99,_A2kAzmbVS,17851059742018117,r_uthkjv,2015-12-09 02:17:43,@carbon0828 looks coo 😎,,carbon0828 
100,_A2kAzmbVS,17852872624018117,kemiwells,2016-01-03 09:17:05,@stephyj123 this place looks pretty good!,,stephyj123 
101,_A2kAzmbVS,17853291994018117,ninna_cooper,2016-02-04 02:52:17,Fino je @jelena_miami,,jelena_miami 
102,_KtXfFGbZv,17843604493095362,312mademe,2015-12-11 21:54:06,@gameovertripleh,,gameovertripleh 
103,_KtXfFGbZv,17843604676095362,katierandick,2015-12-11 22:06:00,@madeleinebyrnee how bout no Scott .. Scotty don't .,,madeleinebyrnee 
